job_id,trader_id,seeker_id,job_type,skill_required,status,trader_rating,seeker_rating,amount_paid,economic_context,created_at,updated_at
JOB_00020,T_100523,S_503623,One-off,Stock Counting,Paid,4,4,8389.26,Normal,2026-02-25 21:47:21.280486,2026-02-26 08:47:21.280486
JOB_00021,T_100400,S_502381,One-off,Driving,Paid,5,5,9641.08,Normal,2026-04-06 21:47:21.282594,2026-04-07 04:47:21.282594
JOB_00022,T_100135,S_501594,Full-time,Logistics,Paid,4,1,9112.34,Rainy_Day,2026-02-24 21:47:21.284378,2026-02-25 15:47:21.284378
JOB_00023,T_100791,S_500258,Part-time,Sales,Paid,1,2,9590.43,Normal,2026-04-27 21:47:21.287618,2026-04-28 03:47:21.287618
JOB_00024,T_100996,S_502909,On-call,Stock Counting,Paid,4,2,7236.59,Fuel_Scarcity,2026-02-16 21:47:21.290058,2026-02-17 07:47:21.290058
JOB_00025,T_100282,S_503883,Full-time,Driving,Paid,4,2,2938.92,Normal,2026-03-12 21:47:21.292106,2026-03-13 16:47:21.292106
JOB_00026,T_100057,S_500378,On-call,Logistics,Paid,1,3,5395.17,Normal,2026-05-04 21:47:21.294465,2026-05-05 20:47:21.294465
JOB_00027,T_100034,S_502770,One-off,Logistics,Paid,5,1,3320.05,Normal,2026-02-16 21:47:21.296873,2026-02-17 08:47:21.296873
JOB_00028,T_100077,S_502921,On-call,Logistics,Paid,1,3,7506.21,Normal,2026-05-02 21:47:21.299262,2026-05-03 13:47:21.299262
JOB_00029,T_100454,S_503066,Part-time,Heavy Lifting,Paid,2,2,8451.61,Fuel_Scarcity,2026-03-16 21:47:21.301487,2026-03-17 06:47:21.301487
JOB_00030,T_100952,S_504891,On-call,Sales,Paid,3,1,8483.69,Fuel_Scarcity,2026-04-05 21:47:21.304827,2026-04-06 08:47:21.304827
JOB_00031,T_100615,S_500299,Full-time,Logistics,Paid,4,3,4495.54,Fuel_Scarcity,2026-02-13 21:47:21.307269,2026-02-14 21:47:21.307269
JOB_00032,T_100772,S_502269,Part-time,Packaging,Paid,2,4,8963.36,Rainy_Day,2026-04-13 21:47:21.310007,2026-04-14 20:47:21.310007
JOB_00033,T_100011,S_500304,Part-time,Driving,Paid,4,5,4159.95,Fuel_Scarcity,2026-03-30 21:47:21.312093,2026-03-31 07:47:21.312093
JOB_00034,T_100997,S_503814,On-call,Driving,Paid,4,1,11942.78,Normal,2026-03-06 21:47:21.314120,2026-03-07 02:47:21.314120
JOB_00035,T_100539,S_503973,On-call,Packaging,Paid,4,4,4157.59,Fuel_Scarcity,2026-05-05 21:47:21.316124,2026-05-06 06:47:21.316124
JOB_00036,T_100781,S_500611,On-call,Logistics,Paid,1,3,8481.62,Fuel_Scarcity,2026-02-12 21:47:21.318127,2026-02-13 19:47:21.318127
JOB_00037,T_100427,S_502097,Full-time,Packaging,Paid,4,5,4000.65,Fuel_Scarcity,2026-04-05 21:47:21.321268,2026-04-06 07:47:21.321268
JOB_00038,T_100146,S_502182,On-call,Driving,Paid,2,2,2005.78,Rainy_Day,2026-04-06 21:47:21.323465,2026-04-07 13:47:21.323465
JOB_00039,T_100972,S_501906,Part-time,Sales,Paid,1,3,7804.43,Normal,2026-04-09 21:47:21.325891,2026-04-10 11:47:21.325891
JOB_00040,T_100973,S_501559,One-off,Heavy Lifting,Paid,4,5,4759.24,Normal,2026-03-19 21:47:21.328031,2026-03-20 06:47:21.328031
JOB_00041,T_100291,S_503778,On-call,Logistics,Paid,2,5,5557.72,Fuel_Scarcity,2026-04-22 21:47:21.330150,2026-04-23 16:47:21.330150
JOB_00042,T_100244,S_503869,Part-time,Stock Counting,Paid,5,4,10260.4,Rainy_Day,2026-04-23 21:47:21.332177,2026-04-24 18:47:21.332177
JOB_00043,T_100123,S_504721,One-off,Packaging,Paid,5,1,4746.18,Fuel_Scarcity,2026-03-08 21:47:21.333965,2026-03-09 01:47:21.333965
JOB_00044,T_100327,S_501746,Full-time,Heavy Lifting,Paid,1,5,11474.88,Fuel_Scarcity,2026-03-31 21:47:21.336856,2026-04-01 11:47:21.336856
JOB_00045,T_100447,S_500201,One-off,Driving,Paid,4,4,4495.33,Normal,2026-02-14 21:47:21.339065,2026-02-15 16:47:21.339065
JOB_00046,T_100147,S_503080,Full-time,Packaging,Paid,5,3,6481.87,Normal,2026-04-02 21:47:21.342344,2026-04-03 07:47:21.342344
JOB_00047,T_100581,S_502640,Full-time,Stock Counting,Paid,3,2,2463.58,Rainy_Day,2026-04-28 21:47:21.345304,2026-04-29 01:47:21.345304
JOB_00048,T_100485,S_503611,Part-time,Heavy Lifting,Paid,1,5,7325.55,Normal,2026-04-09 21:47:21.347735,2026-04-10 19:47:21.347735
JOB_00049,T_100151,S_500865,Full-time,Heavy Lifting,Paid,5,2,8340.63,Rainy_Day,2026-04-16 21:47:21.350113,2026-04-17 10:47:21.350113
JOB_00050,T_100019,S_504842,On-call,Stock Counting,Paid,2,5,3075.26,Fuel_Scarcity,2026-05-07 21:47:21.353023,2026-05-08 14:47:21.353023
JOB_00051,T_100928,S_503081,One-off,Logistics,Paid,3,5,2637.96,Fuel_Scarcity,2026-03-27 21:47:21.355445,2026-03-28 14:47:21.355445
JOB_00052,T_100107,S_503434,One-off,Sales,Paid,1,3,3039.65,Fuel_Scarcity,2026-03-08 21:47:21.358781,2026-03-09 04:47:21.358781
JOB_00053,T_100649,S_503405,One-off,Driving,Paid,4,3,6602.62,Fuel_Scarcity,2026-04-24 21:47:21.360573,2026-04-25 10:47:21.360573
JOB_00054,T_100749,S_503600,Full-time,Packaging,Paid,3,1,5658.3,Fuel_Scarcity,2026-04-14 21:47:21.362343,2026-04-15 03:47:21.362343
JOB_00055,T_100314,S_500357,On-call,Sales,Paid,2,3,7192.31,Rainy_Day,2026-04-16 21:47:21.364126,2026-04-17 15:47:21.364126
JOB_00056,T_100244,S_502745,Part-time,Stock Counting,Paid,4,1,6057.44,Fuel_Scarcity,2026-03-10 21:47:21.365893,2026-03-11 09:47:21.365893
JOB_00057,T_100341,S_501933,Part-time,Stock Counting,Paid,2,2,5995.23,Normal,2026-04-28 21:47:21.367675,2026-04-29 14:47:21.367675
JOB_00058,T_100337,S_501340,One-off,Driving,Paid,3,4,9267.54,Rainy_Day,2026-02-28 21:47:21.370817,2026-03-01 16:47:21.370817
JOB_00059,T_100513,S_504068,Full-time,Packaging,Paid,5,3,6036.68,Normal,2026-04-06 21:47:21.373254,2026-04-07 04:47:21.373254
JOB_00060,T_100924,S_500583,Part-time,Sales,Paid,5,4,7334.36,Normal,2026-03-06 21:47:21.375267,2026-03-07 11:47:21.375267
JOB_00061,T_100898,S_500930,On-call,Stock Counting,Paid,5,3,4076.24,Rainy_Day,2026-04-16 21:47:21.377258,2026-04-17 05:47:21.377258
JOB_00062,T_100504,S_500973,On-call,Sales,Paid,4,2,5073.05,Fuel_Scarcity,2026-04-01 21:47:21.379252,2026-04-02 18:47:21.379252
JOB_00063,T_100298,S_502757,Full-time,Logistics,Paid,1,5,2748.52,Rainy_Day,2026-04-15 21:47:21.381249,2026-04-16 13:47:21.381249
JOB_00064,T_100450,S_503781,One-off,Packaging,Paid,4,4,10165.83,Rainy_Day,2026-05-07 21:47:21.383232,2026-05-08 02:47:21.383232
JOB_00065,T_100657,S_503217,On-call,Driving,Paid,2,1,4153.02,Normal,2026-02-24 21:47:21.385707,2026-02-25 21:47:21.385707
JOB_00066,T_100798,S_500262,Full-time,Heavy Lifting,Paid,1,1,6693.75,Normal,2026-02-16 21:47:21.388728,2026-02-17 17:47:21.388728
JOB_00067,T_100629,S_503764,Full-time,Sales,Paid,1,3,10313.5,Normal,2026-02-11 21:47:21.390994,2026-02-12 17:47:21.390994
JOB_00068,T_100428,S_503003,On-call,Packaging,Paid,3,3,6445.46,Normal,2026-05-04 21:47:21.393143,2026-05-05 16:47:21.393143
JOB_00069,T_100571,S_501039,One-off,Sales,Paid,3,3,7220.1,Normal,2026-05-11 21:47:21.395269,2026-05-12 18:47:21.395269
JOB_00070,T_100379,S_504412,One-off,Heavy Lifting,Paid,1,3,2689.0,Normal,2026-02-27 21:47:21.397380,2026-02-28 09:47:21.397380
JOB_00071,T_100608,S_500766,Full-time,Packaging,Paid,2,5,5761.01,Normal,2026-05-07 21:47:21.399484,2026-05-08 06:47:21.399484
JOB_00072,T_100206,S_502390,Part-time,Sales,Paid,4,5,6444.03,Normal,2026-04-25 21:47:21.401796,2026-04-26 01:47:21.401796
JOB_00073,T_100989,S_501984,Full-time,Heavy Lifting,Paid,2,1,6251.8,Normal,2026-03-16 21:47:21.404793,2026-03-17 20:47:21.404793
JOB_00074,T_100494,S_501295,On-call,Driving,Paid,3,5,9099.02,Normal,2026-02-19 21:47:21.406989,2026-02-20 20:47:21.406989
JOB_00075,T_100004,S_502867,Part-time,Logistics,Paid,2,1,10964.2,Normal,2026-04-10 21:47:21.409125,2026-04-11 20:47:21.409125
JOB_00076,T_100166,S_503224,On-call,Stock Counting,Paid,3,3,4092.02,Rainy_Day,2026-03-12 21:47:21.411235,2026-03-13 09:47:21.411235
JOB_00077,T_100077,S_504011,Full-time,Packaging,Paid,4,3,2103.52,Normal,2026-03-11 21:47:21.413352,2026-03-12 04:47:21.413352
JOB_00078,T_100712,S_502172,Part-time,Heavy Lifting,Paid,5,3,5523.25,Fuel_Scarcity,2026-03-05 21:47:21.415454,2026-03-06 04:47:21.415454
JOB_00079,T_100521,S_502341,Part-time,Heavy Lifting,Paid,4,1,2384.95,Rainy_Day,2026-02-19 21:47:21.417562,2026-02-20 10:47:21.417562
JOB_00080,T_100448,S_504255,Part-time,Driving,Paid,2,5,5038.62,Rainy_Day,2026-04-05 21:47:21.421979,2026-04-06 14:47:21.421979
JOB_00081,T_100333,S_500170,On-call,Logistics,Paid,4,3,11128.79,Normal,2026-04-06 21:47:21.424220,2026-04-07 20:47:21.424220
JOB_00082,T_100754,S_504391,On-call,Driving,Paid,1,3,8714.94,Normal,2026-04-29 21:47:21.426318,2026-04-30 14:47:21.426318
JOB_00083,T_100812,S_503722,On-call,Stock Counting,Paid,1,2,3387.32,Normal,2026-03-12 21:47:21.428410,2026-03-13 15:47:21.428410
JOB_00084,T_100950,S_503081,Part-time,Driving,Paid,3,5,3010.33,Fuel_Scarcity,2026-04-14 21:47:21.430498,2026-04-15 13:47:21.430498
JOB_00085,T_100673,S_501201,One-off,Driving,Paid,5,5,6013.98,Rainy_Day,2026-05-08 21:47:21.432592,2026-05-09 11:47:21.432592
JOB_00086,T_100239,S_504853,Part-time,Logistics,Paid,2,2,2327.42,Rainy_Day,2026-03-04 21:47:21.435051,2026-03-05 09:47:21.435051
JOB_00087,T_100953,S_504628,One-off,Logistics,Paid,2,1,7099.9,Rainy_Day,2026-03-26 21:47:21.438552,2026-03-27 16:47:21.438552
JOB_00088,T_100336,S_501186,Part-time,Logistics,Paid,4,1,5142.04,Fuel_Scarcity,2026-03-03 21:47:21.441283,2026-03-04 14:47:21.441283
JOB_00089,T_100409,S_502181,Part-time,Packaging,Paid,2,2,3514.11,Normal,2026-04-12 21:47:21.443460,2026-04-13 12:47:21.443460
JOB_00090,T_100707,S_501896,One-off,Packaging,Paid,3,4,10861.52,Normal,2026-05-07 21:47:21.445602,2026-05-08 14:47:21.445602
JOB_00091,T_100816,S_503434,Full-time,Sales,Paid,4,4,6078.09,Fuel_Scarcity,2026-02-12 21:47:21.447735,2026-02-13 05:47:21.447735
JOB_00092,T_100813,S_502565,On-call,Packaging,Paid,3,4,2914.72,Rainy_Day,2026-04-19 21:47:21.449851,2026-04-20 19:47:21.449851
JOB_00093,T_100590,S_500205,On-call,Sales,Paid,5,5,10870.45,Normal,2026-03-22 21:47:21.452751,2026-03-23 16:47:21.452751
JOB_00094,T_100022,S_501430,On-call,Heavy Lifting,Paid,3,2,3019.02,Normal,2026-05-10 21:47:21.455088,2026-05-11 06:47:21.455088
JOB_00095,T_100943,S_504687,Full-time,Logistics,Paid,3,4,3103.42,Normal,2026-04-24 21:47:21.457195,2026-04-25 19:47:21.457195
JOB_00096,T_100018,S_503350,One-off,Packaging,Paid,2,4,5324.62,Fuel_Scarcity,2026-05-05 21:47:21.459287,2026-05-06 20:47:21.459287
JOB_00097,T_100669,S_503619,On-call,Logistics,Paid,1,1,6739.62,Normal,2026-04-13 21:47:21.461388,2026-04-14 19:47:21.461388
JOB_00098,T_100144,S_502072,Full-time,Sales,Paid,2,3,2972.23,Normal,2026-02-25 21:47:21.463483,2026-02-26 09:47:21.463483
JOB_00099,T_100905,S_502076,One-off,Sales,Paid,5,1,3128.86,Rainy_Day,2026-03-08 21:47:21.465634,2026-03-09 13:47:21.465634
JOB_00100,T_100860,S_501397,Part-time,Sales,Paid,3,5,5401.18,Fuel_Scarcity,2026-02-14 21:47:21.467505,2026-02-15 19:47:21.467505
JOB_00101,T_100119,S_502814,Full-time,Logistics,Paid,1,1,5716.49,Normal,2026-04-23 21:47:21.470514,2026-04-24 16:47:21.470514
JOB_00102,T_100895,S_500789,Part-time,Packaging,Paid,5,3,10428.55,Fuel_Scarcity,2026-03-25 21:47:21.472773,2026-03-26 14:47:21.472773
JOB_00103,T_100627,S_500369,Full-time,Sales,Paid,2,5,11811.67,Normal,2026-02-11 21:47:21.474930,2026-02-12 14:47:21.474930
JOB_00104,T_100577,S_502787,Part-time,Driving,Paid,2,1,5310.12,Fuel_Scarcity,2026-02-19 21:47:21.477049,2026-02-20 08:47:21.477049
JOB_00105,T_100381,S_501439,Full-time,Logistics,Paid,3,5,8340.68,Normal,2026-03-02 21:47:21.479161,2026-03-03 01:47:21.479161
JOB_00106,T_100812,S_500718,One-off,Heavy Lifting,Paid,3,5,5026.54,Normal,2026-04-26 21:47:21.481371,2026-04-27 06:47:21.481371
JOB_00107,T_100024,S_501664,One-off,Heavy Lifting,Paid,1,5,11218.41,Normal,2026-02-20 21:47:21.483183,2026-02-21 09:47:21.483183
JOB_00108,T_100227,S_502226,Part-time,Sales,Paid,2,2,7624.75,Normal,2026-04-27 21:47:21.485417,2026-04-28 10:47:21.485417
JOB_00109,T_100293,S_503989,One-off,Heavy Lifting,Paid,3,4,5588.11,Normal,2026-03-09 21:47:21.487964,2026-03-10 01:47:21.487964
JOB_00110,T_100407,S_500178,Part-time,Logistics,Paid,4,4,10879.91,Fuel_Scarcity,2026-02-27 21:47:21.490113,2026-02-28 13:47:21.490113
JOB_00111,T_100073,S_502966,One-off,Sales,Paid,2,3,11349.63,Normal,2026-04-11 21:47:21.492266,2026-04-12 06:47:21.492266
JOB_00112,T_100762,S_503183,One-off,Logistics,Paid,1,3,4102.25,Normal,2026-02-26 21:47:21.494386,2026-02-27 07:47:21.494386
JOB_00113,T_100144,S_502607,Full-time,Driving,Paid,3,4,11030.52,Normal,2026-03-13 21:47:21.496494,2026-03-14 17:47:21.496494
JOB_00114,T_100401,S_504463,One-off,Heavy Lifting,Paid,3,4,11719.58,Rainy_Day,2026-03-16 21:47:21.500602,2026-03-17 14:47:21.500602
JOB_00115,T_100713,S_501409,One-off,Driving,Paid,3,5,4163.85,Fuel_Scarcity,2026-04-18 21:47:21.503360,2026-04-19 09:47:21.503360
JOB_00116,T_100473,S_501321,Part-time,Sales,Paid,4,5,5886.0,Rainy_Day,2026-03-28 21:47:21.505719,2026-03-29 16:47:21.505719
JOB_00117,T_100624,S_503329,On-call,Sales,Paid,3,1,8349.53,Normal,2026-05-11 21:47:21.507838,2026-05-12 18:47:21.507838
JOB_00118,T_100851,S_501037,Part-time,Stock Counting,Paid,1,5,3694.58,Normal,2026-05-05 21:47:21.509946,2026-05-06 11:47:21.509946
JOB_00119,T_100624,S_501624,On-call,Logistics,Paid,5,2,2585.93,Rainy_Day,2026-04-30 21:47:21.512051,2026-05-01 20:47:21.512051
JOB_00120,T_100598,S_504632,One-off,Sales,Paid,5,5,2075.24,Fuel_Scarcity,2026-03-19 21:47:21.514130,2026-03-20 05:47:21.514130
JOB_00121,T_100252,S_501171,On-call,Sales,Paid,4,1,6648.31,Fuel_Scarcity,2026-04-08 21:47:21.515939,2026-04-09 04:47:21.515939
JOB_00122,T_100874,S_502962,Full-time,Sales,Paid,5,2,9569.2,Normal,2026-03-07 21:47:21.517733,2026-03-08 07:47:21.517733
JOB_00123,T_100893,S_500112,One-off,Sales,Paid,5,1,3025.04,Rainy_Day,2026-04-22 21:47:21.520386,2026-04-23 10:47:21.520386
JOB_00124,T_100804,S_504032,Full-time,Sales,Paid,4,1,5392.7,Fuel_Scarcity,2026-04-17 21:47:21.522224,2026-04-18 01:47:21.522224
JOB_00125,T_100818,S_504478,On-call,Stock Counting,Paid,4,3,3771.28,Normal,2026-04-15 21:47:21.524005,2026-04-16 21:47:21.524005
JOB_00126,T_100664,S_501082,Part-time,Heavy Lifting,Paid,5,3,7204.48,Normal,2026-03-17 21:47:21.525777,2026-03-18 16:47:21.525777
JOB_00127,T_100931,S_503877,One-off,Stock Counting,Paid,5,1,9241.19,Fuel_Scarcity,2026-02-17 21:47:21.527562,2026-02-18 02:47:21.527562
JOB_00128,T_100550,S_502403,One-off,Heavy Lifting,Paid,3,4,4543.51,Normal,2026-02-12 21:47:21.529609,2026-02-13 05:47:21.529609
JOB_00129,T_100024,S_500432,One-off,Logistics,Paid,2,4,11336.6,Normal,2026-03-17 21:47:21.531711,2026-03-18 04:47:21.531711
JOB_00130,T_100241,S_504416,Full-time,Driving,Paid,3,5,9380.29,Fuel_Scarcity,2026-03-05 21:47:21.533803,2026-03-06 15:47:21.533803
JOB_00131,T_100519,S_501447,On-call,Logistics,Paid,3,1,5634.27,Normal,2026-04-26 21:47:21.536749,2026-04-27 14:47:21.536749
JOB_00132,T_100282,S_504995,Part-time,Packaging,Paid,5,1,3866.74,Normal,2026-03-23 21:47:21.539158,2026-03-24 07:47:21.539158
JOB_00133,T_100462,S_503960,Full-time,Stock Counting,Paid,2,4,7760.96,Normal,2026-03-04 21:47:21.541317,2026-03-05 16:47:21.541317
JOB_00134,T_100511,S_503268,Part-time,Heavy Lifting,Paid,5,2,11081.63,Fuel_Scarcity,2026-04-11 21:47:21.543447,2026-04-12 01:47:21.543447
JOB_00135,T_100292,S_502346,Full-time,Driving,Paid,1,3,3924.97,Fuel_Scarcity,2026-02-12 21:47:21.545902,2026-02-13 19:47:21.545902
JOB_00136,T_100554,S_500584,Part-time,Packaging,Paid,4,4,7459.54,Normal,2026-03-12 21:47:21.548050,2026-03-13 16:47:21.548050
JOB_00137,T_100685,S_504456,One-off,Logistics,Paid,1,5,5572.46,Normal,2026-02-27 21:47:21.550170,2026-02-28 17:47:21.550170
JOB_00138,T_100268,S_503839,Part-time,Driving,Paid,4,5,4794.89,Normal,2026-02-17 21:47:21.552798,2026-02-18 03:47:21.552798
JOB_00139,T_100507,S_503698,On-call,Heavy Lifting,Paid,5,2,4144.1,Rainy_Day,2026-04-29 21:47:21.555144,2026-04-30 13:47:21.555144
JOB_00140,T_100951,S_500818,Part-time,Sales,Paid,1,5,4860.21,Rainy_Day,2026-03-24 21:47:21.557255,2026-03-25 18:47:21.557255
JOB_00141,T_100961,S_504129,Full-time,Stock Counting,Paid,5,2,11685.05,Rainy_Day,2026-04-25 21:47:21.559349,2026-04-26 06:47:21.559349
JOB_00142,T_100069,S_501227,Full-time,Heavy Lifting,Paid,3,4,8446.15,Normal,2026-04-21 21:47:21.561408,2026-04-22 13:47:21.561408
JOB_00143,T_100436,S_503228,Part-time,Stock Counting,Paid,5,4,9612.53,Normal,2026-03-11 21:47:21.563196,2026-03-12 20:47:21.563196
JOB_00144,T_100022,S_500257,One-off,Packaging,Paid,2,3,9711.81,Normal,2026-05-01 21:47:21.564978,2026-05-02 05:47:21.564978
JOB_00145,T_100398,S_504386,On-call,Logistics,Paid,5,2,4605.1,Rainy_Day,2026-02-17 21:47:21.567076,2026-02-18 01:47:21.567076
JOB_00146,T_100911,S_500845,One-off,Sales,Paid,2,1,4999.04,Fuel_Scarcity,2026-03-25 21:47:21.569561,2026-03-26 09:47:21.569561
JOB_00147,T_100649,S_502148,Full-time,Logistics,Paid,1,4,9290.73,Rainy_Day,2026-04-21 21:47:21.571909,2026-04-22 18:47:21.571909
JOB_00148,T_100195,S_502844,One-off,Logistics,Paid,2,5,10980.78,Rainy_Day,2026-02-15 21:47:21.574024,2026-02-16 21:47:21.574024
JOB_00149,T_100959,S_504259,Full-time,Stock Counting,Paid,5,4,11585.4,Rainy_Day,2026-05-11 21:47:21.577159,2026-05-12 17:47:21.577159
JOB_00150,T_100694,S_503802,One-off,Packaging,Paid,5,2,2682.03,Normal,2026-02-16 21:47:21.579738,2026-02-17 14:47:21.579738
JOB_00151,T_100185,S_501301,Part-time,Logistics,Paid,2,4,8289.29,Normal,2026-03-12 21:47:21.581550,2026-03-13 03:47:21.581550
JOB_00152,T_100385,S_501390,One-off,Heavy Lifting,Paid,2,2,5274.29,Normal,2026-04-18 21:47:21.583330,2026-04-19 08:47:21.583330
JOB_00153,T_100419,S_500718,Full-time,Stock Counting,Paid,3,2,5644.78,Normal,2026-04-12 21:47:21.585691,2026-04-13 21:47:21.585691
JOB_00154,T_100074,S_504227,Full-time,Driving,Paid,2,4,8239.23,Rainy_Day,2026-03-21 21:47:21.588737,2026-03-22 03:47:21.588737
JOB_00155,T_100428,S_502377,On-call,Packaging,Paid,1,4,9264.48,Normal,2026-04-11 21:47:21.591240,2026-04-12 16:47:21.591240
JOB_00156,T_100997,S_504946,Part-time,Driving,Paid,1,1,11805.2,Rainy_Day,2026-04-08 21:47:21.593421,2026-04-09 15:47:21.593421
JOB_00157,T_100157,S_501382,Full-time,Driving,Paid,2,4,4825.34,Fuel_Scarcity,2026-04-15 21:47:21.595251,2026-04-16 20:47:21.595251
JOB_00158,T_100768,S_500516,On-call,Driving,Paid,4,3,6029.5,Normal,2026-03-29 21:47:21.597048,2026-03-30 16:47:21.597048
JOB_00159,T_100557,S_500333,Full-time,Heavy Lifting,Paid,2,5,2800.42,Fuel_Scarcity,2026-02-12 21:47:21.598836,2026-02-13 04:47:21.598836
JOB_00160,T_100350,S_503439,Part-time,Packaging,Paid,1,5,4173.07,Rainy_Day,2026-03-30 21:47:21.600620,2026-03-31 03:47:21.600620
JOB_00161,T_100287,S_504616,Full-time,Logistics,Paid,4,5,11245.2,Normal,2026-05-09 21:47:21.603462,2026-05-10 03:47:21.603462
JOB_00162,T_100237,S_501887,On-call,Driving,Paid,2,1,2588.51,Normal,2026-04-12 21:47:21.605802,2026-04-13 15:47:21.605802
JOB_00163,T_100090,S_502451,Full-time,Heavy Lifting,Paid,2,4,2790.59,Rainy_Day,2026-02-12 21:47:21.608130,2026-02-13 07:47:21.608130
JOB_00164,T_100774,S_500924,Full-time,Sales,Paid,1,3,11722.97,Rainy_Day,2026-02-28 21:47:21.610244,2026-03-01 01:47:21.610244
JOB_00165,T_100087,S_500546,On-call,Packaging,Paid,4,2,5291.61,Normal,2026-03-31 21:47:21.612337,2026-04-01 20:47:21.612337
JOB_00166,T_100667,S_500411,On-call,Stock Counting,Paid,5,5,7439.2,Rainy_Day,2026-02-13 21:47:21.614432,2026-02-14 15:47:21.614432
JOB_00167,T_100183,S_501328,One-off,Heavy Lifting,Paid,3,2,10948.25,Fuel_Scarcity,2026-03-15 21:47:21.616530,2026-03-16 11:47:21.616530
JOB_00168,T_100070,S_502357,Part-time,Sales,Paid,2,1,8300.26,Normal,2026-04-22 21:47:21.619202,2026-04-23 10:47:21.619202
JOB_00169,T_100233,S_501156,One-off,Sales,Paid,4,2,7772.58,Normal,2026-02-25 21:47:21.621728,2026-02-26 12:47:21.621728
JOB_00170,T_100406,S_502236,Full-time,Sales,Paid,3,2,7473.15,Normal,2026-04-15 21:47:21.624049,2026-04-16 10:47:21.624049
JOB_00171,T_100104,S_502258,On-call,Logistics,Paid,4,1,8471.38,Normal,2026-04-24 21:47:21.626328,2026-04-25 21:47:21.626328
JOB_00172,T_100894,S_503441,Full-time,Driving,Paid,5,4,10144.79,Normal,2026-05-04 21:47:21.628599,2026-05-05 16:47:21.628599
JOB_00173,T_100001,S_503775,Part-time,Driving,Paid,3,4,2184.24,Rainy_Day,2026-04-02 21:47:21.630841,2026-04-03 18:47:21.630841
JOB_00174,T_100487,S_503644,One-off,Heavy Lifting,Paid,3,2,8054.35,Fuel_Scarcity,2026-02-21 21:47:21.633122,2026-02-22 03:47:21.633122
JOB_00175,T_100342,S_503698,On-call,Sales,Paid,2,2,6125.98,Fuel_Scarcity,2026-03-11 21:47:21.636525,2026-03-12 09:47:21.636525
